,,,,,,,,,,,,,
,Остатки,,,,,,,,,,,,
,,отчет создан:,18/03/2026 12:32:54,,,,,,,,,,
,,исполнитель:,Баркова Светлана (admin@autopartsworld ),,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Код,Артикул,Наименование,Ед.изм.,Доступно,Резерв,Ожидание,Остаток,Себестоимость,"Сумма себестоимости",Цена продажи,Сумма продажи,Дней на складе
,,,,,,,,,,,,,
,1736,3103100XGW02A,Ступица передняя в сборе 3103100XGW02A DI-SOLIK Haval Jolion DSLK-4243 (3103100XG),шт,1,0,0,1,2040,2040,4100,4100,90.09
,2826,21101601180,Подшипник выжимной в сборе 21101601180 DI-SOLIK для VAZ,шт,1,0,0,1,100,100,400,400,58.11
,2061,X0131030001,Ступица передняя/задняя X01-31030001 Lixiang L7 L9 DSLK-4445 (X0331030011),шт,4,0,0,4,2576,10304,5152,20608,252.73
,2059,3501120CD04,Ступица задняя 3501120-CD04 Changan CS-75 DSLK-3620 (15007077),шт,4,0,0,4,1610,6440,3220,12880,252.73
,2656,4050047400,СТУПИЦА ЗАДНЯЯ ПРАВАЯ DI-SOLIK 4050047400/R 6AT+2WD NL-3B Geely ATLAS PRO,шт,5,0,0,5,2244,11220,7900,39500,90.09
,2052,3104100XKZ16B,Ступица задняя в сборе 3104100XKZ16B  Haval F7 DSLK-3150/4485 (3104100KZ16),шт,5,0,0,5,1610,8050,4000,20000,207.99
,2655,4050047400,СТУПИЦА ЗАДНЯЯ ЛЕВАЯ DI-SOLIK 4050047400/L 6AT+2WD NL-3B Geely ATLAS PRO,шт,5,0,0,5,2244,11220,7900,39500,90.09
,2651,T113301210BC,Ступица задняя T113301210BC DSLK-4066 DI-SOLIK Chery Tiggo 3/4/4 pro/7/7 pro/8 pro/8 pro max/Exeed LX/Omoda C5,шт,7,0,0,7,2856,19992,6700,46900,90.09
,2605,4048077600,Подшипник передней ступицы 4048077600 DI-SOLIK (DAC42780040) Geely Coolray SX11,шт,8,0,0,8,510,4080,1849,14792,91.98
,2648,A1663340206,Ступица передняя A1663340206 DI-SOLIK для Mercedes-Benz DSLK-3376,шт,9,0,0,9,2754,24786,7500,67500,90.09
,2055,4050039700,Ступица в сборе задняя 4050039700 Geely Emgrand SS11 DSLK-4126 (DAC2F1140935),шт,9,0,0,9,1771,15939,4500,40500,90.09
,2649,204001454AA,Ступица задняя R=L 204001454AA DI-SOLIK Chery Tiggo 7 Pro Max/8/8 Pro/8 Pro Max/Exeed LX/Omoda C5,шт,10,0,0,10,2550,25500,6700,67000,89.38
,2657,4048054000,СТУПИЦА ПЕРЕДНЯЯ DI-SOLIK 4048054000 DSLK-3664 Geely ATLAS PRO,шт,10,0,0,10,2040,20400,5100,51000,90.09
,2654,51730L100,Ступица передняя DI-SOLIK 51730L100 DSLK-4090 Kia/Hyundai,шт,10,0,0,10,2448,24480,7900,79000,90.09
,2714,S2010560500,Ступица передняя S2010560500/DSLK-3288 Changan CS55 DI-SOLIK,шт,10,0,0,10,2448,24480,6000,60000,83.98
,2604,204000116AA,Подшипник передней ступицы 204000116AA DI-SOLIK (DAC4208445C) Chery/Exeed,шт,10,0,0,10,571.2,5712,1400,14000,91.98
,2647,CD569F2603031002,Ступица задняя CD569F2603031002 DI-SOLIK Changan UNI-K,шт,10,0,0,10,2856,28560,6000,60000,87.18
,2658,C281F2603032000,Ступица задняя DI-SOLIK C281F2603032000 DSLK-4472 Changan UNI-V,шт,10,0,0,10,2040,20400,7800,78000,90.09
,2606,S203F2603012600,Подшипник ступицы передний S203F260301-2600 DI-SOLIK (DAC45840045) Changan CS55/Toyota /Mazda/Geely Atlas(NL3),шт,10,0,0,10,612,6120,1700,17000,91.98
,2653,204000480AA,Ступица задняя DI-SOLIK 204000480AA DSLK-4506 Chery Tiggo 7/7 pro/7 pro max/Exeed LX/VX,шт,10,0,0,10,2856,28560,6000,60000,90.09
,2659,3104100XGW02A,Ступица задняя DI-SOLIK 3104100XGW02A DSLK-4391 Haval Jolion,шт,10,0,0,10,2040,20400,4500,45000,90.09
